category,amount,best_card_logic,actual_card,cb_Ace_Credit_Card,cb_Amazon_Pay_Credit_Card,cb_BPCL_Octane_Credit_Card,cb_BankBazaar_Credit_Card,cb_Cashback_Credit_Card,cb_Coral_Credit_Card,cb_Diners_Club_Black,cb_Elite_Credit_Card,cb_Emerald_Private_Metal,cb_First_Classic_Credit_Card,cb_First_Wealth_Credit_Card,cb_Flipkart_Axis_Bank_Credit_Card,cb_HPCL_Super_Saver_Credit_Card,cb_League_Platinum_Credit_Card,cb_Magnus_Credit_Card,cb_Millennia_Credit_Card,cb_My_Zone_Credit_Card,cb_PVR_Platinum_Credit_Card,cb_Regalia_Gold,cb_SimplyCLICK_Credit_Card,cb_SimplySAVE_Credit_Card,cb_Super_Value_Titanium_Credit_Card,cb_Tata_Neu_Infinity_Credit_Card,cb_Vistara_Infinite_Credit_Card,cb_White_Credit_Card,cb_YES_First_Business_Credit_Card
fuel,16161.85,BPCL Octane Credit Card,Vistara Infinite Credit Card,80.8093,80.8093,404.0462,80.8093,80.8093,20.2023,40.4046,20.2023,28.2832,80.8093,20.2023,80.8093,323.237,20.2023,20.2023,80.8093,20.2023,20.2023,20.2023,80.8093,80.8093,80.8093,80.8093,40.4046,20.2023,20.2023
dining,1668.12,Cashback Credit Card,Cashback Credit Card,16.6812,8.3406,4.1703,8.3406,33.3624,4.1703,16.6812,4.1703,11.6768,8.3406,6.2554,8.3406,4.1703,4.1703,6.2554,16.6812,4.1703,4.1703,8.3406,16.6812,16.6812,16.6812,16.6812,8.3406,4.1703,4.1703
groceries,17720.49,Tata Neu Infinity Credit Card,Tata Neu Infinity Credit Card,177.2049,177.2049,44.3012,88.6025,177.2049,44.3012,44.3012,22.1506,31.0109,88.6025,22.1506,177.2049,44.3012,22.1506,22.1506,177.2049,22.1506,22.1506,22.1506,265.8073,177.2049,177.2049,354.4098,44.3012,22.1506,22.1506
travel,14120.98,Diners Club Black,Diners Club Black,70.6049,70.6049,35.3025,70.6049,70.6049,35.3025,211.8147,70.6049,148.2703,70.6049,88.2561,70.6049,35.3025,52.9537,105.9074,70.6049,17.6512,17.6512,105.9074,70.6049,70.6049,70.6049,70.6049,176.5122,70.6049,52.9537
travel,15484.06,Diners Club Black,SimplySAVE Credit Card,77.4203,77.4203,38.7101,77.4203,77.4203,38.7101,232.2609,77.4203,162.5826,77.4203,96.7754,77.4203,38.7101,58.0652,116.1304,77.4203,19.3551,19.3551,116.1304,77.4203,77.4203,77.4203,77.4203,193.5507,77.4203,58.0652
dining,5631.67,Cashback Credit Card,Cashback Credit Card,56.3167,28.1583,14.0792,28.1583,112.6334,14.0792,56.3167,14.0792,39.4217,28.1583,21.1188,28.1583,14.0792,14.0792,21.1188,56.3167,14.0792,14.0792,28.1583,56.3167,56.3167,56.3167,56.3167,28.1583,14.0792,14.0792
fuel,3336.82,BPCL Octane Credit Card,BPCL Octane Credit Card,16.6841,16.6841,83.4205,16.6841,16.6841,4.171,8.3421,4.171,5.8394,16.6841,4.171,16.6841,66.7364,4.171,4.171,16.6841,4.171,4.171,4.171,16.6841,16.6841,16.6841,16.6841,8.3421,4.171,4.171
fuel,14066.22,BPCL Octane Credit Card,BPCL Octane Credit Card,70.3311,70.3311,351.6555,70.3311,70.3311,17.5828,35.1655,17.5828,24.6159,70.3311,17.5828,70.3311,281.3244,17.5828,17.5828,70.3311,17.5828,17.5828,17.5828,70.3311,70.3311,70.3311,70.3311,35.1655,17.5828,17.5828
shopping,12221.71,Millennia Credit Card,Millennia Credit Card,122.2171,366.6513,30.5543,61.1085,244.4342,30.5543,61.1085,30.5543,42.776,61.1085,30.5543,366.6513,30.5543,30.5543,30.5543,366.6513,45.8314,61.1085,30.5543,366.6513,122.2171,122.2171,366.6513,30.5543,30.5543,61.1085
travel,3351.71,Diners Club Black,Diners Club Black,16.7585,16.7585,8.3793,16.7585,16.7585,8.3793,50.2757,16.7585,35.193,16.7585,20.9482,16.7585,8.3793,12.5689,25.1378,16.7585,4.1896,4.1896,25.1378,16.7585,16.7585,16.7585,16.7585,41.8964,16.7585,12.5689
groceries,4470.34,Tata Neu Infinity Credit Card,Tata Neu Infinity Credit Card,44.7034,44.7034,11.1759,22.3517,44.7034,11.1759,11.1759,5.5879,7.8231,22.3517,5.5879,44.7034,11.1759,5.5879,5.5879,44.7034,5.5879,5.5879,5.5879,67.0551,44.7034,44.7034,89.4068,11.1759,5.5879,5.5879
shopping,4658.06,Millennia Credit Card,Millennia Credit Card,46.5806,139.7418,11.6452,23.2903,93.1612,11.6452,23.2903,11.6452,16.3032,23.2903,11.6452,139.7418,11.6452,11.6452,11.6452,139.7418,17.4677,23.2903,11.6452,139.7418,46.5806,46.5806,139.7418,11.6452,11.6452,23.2903
fuel,8083.18,BPCL Octane Credit Card,BPCL Octane Credit Card,40.4159,40.4159,202.0795,40.4159,40.4159,10.104,20.208,10.104,14.1456,40.4159,10.104,40.4159,161.6636,10.104,10.104,40.4159,10.104,10.104,10.104,40.4159,40.4159,40.4159,40.4159,20.208,10.104,10.104
groceries,17539.72,Tata Neu Infinity Credit Card,Tata Neu Infinity Credit Card,175.3972,175.3972,43.8493,87.6986,175.3972,43.8493,43.8493,21.9246,30.6945,87.6986,21.9246,175.3972,43.8493,21.9246,21.9246,175.3972,21.9246,21.9246,21.9246,263.0958,175.3972,175.3972,350.7944,43.8493,21.9246,21.9246
dining,7973.07,Cashback Credit Card,BPCL Octane Credit Card,79.7307,39.8653,19.9327,39.8653,159.4614,19.9327,79.7307,19.9327,55.8115,39.8653,29.899,39.8653,19.9327,19.9327,29.899,79.7307,19.9327,19.9327,39.8653,79.7307,79.7307,79.7307,79.7307,39.8653,19.9327,19.9327
travel,5007.89,Diners Club Black,Diners Club Black,25.0395,25.0395,12.5197,25.0395,25.0395,12.5197,75.1184,25.0395,52.5828,25.0395,31.2993,25.0395,12.5197,18.7796,37.5592,25.0395,6.2599,6.2599,37.5592,25.0395,25.0395,25.0395,25.0395,62.5986,25.0395,18.7796
fuel,14965.57,BPCL Octane Credit Card,BPCL Octane Credit Card,74.8278,74.8278,374.1393,74.8278,74.8278,18.707,37.4139,18.707,26.1897,74.8278,18.707,74.8278,299.3114,18.707,18.707,74.8278,18.707,18.707,18.707,74.8278,74.8278,74.8278,74.8278,37.4139,18.707,18.707
groceries,8048.07,Tata Neu Infinity Credit Card,Tata Neu Infinity Credit Card,80.4807,80.4807,20.1202,40.2403,80.4807,20.1202,20.1202,10.0601,14.0841,40.2403,10.0601,80.4807,20.1202,10.0601,10.0601,80.4807,10.0601,10.0601,10.0601,120.721,80.4807,80.4807,160.9614,20.1202,10.0601,10.0601
travel,10239.57,Diners Club Black,Diners Club Black,51.1978,51.1978,25.5989,51.1978,51.1978,25.5989,153.5935,51.1978,107.5155,51.1978,63.9973,51.1978,25.5989,38.3984,76.7968,51.1978,12.7995,12.7995,76.7968,51.1978,51.1978,51.1978,51.1978,127.9946,51.1978,38.3984
shopping,17235.95,Millennia Credit Card,Millennia Credit Card,172.3595,517.0785,43.0899,86.1797,344.719,43.0899,86.1797,43.0899,60.3258,86.1797,43.0899,517.0785,43.0899,43.0899,43.0899,517.0785,64.6348,86.1797,43.0899,517.0785,172.3595,172.3595,517.0785,43.0899,43.0899,86.1797
travel,15862.38,Diners Club Black,Diners Club Black,79.3119,79.3119,39.6559,79.3119,79.3119,39.6559,237.9357,79.3119,166.555,79.3119,99.1399,79.3119,39.6559,59.4839,118.9678,79.3119,19.828,19.828,118.9678,79.3119,79.3119,79.3119,79.3119,198.2797,79.3119,59.4839
shopping,7756.87,Millennia Credit Card,Millennia Credit Card,77.5687,232.7061,19.3922,38.7843,155.1374,19.3922,38.7843,19.3922,27.149,38.7843,19.3922,232.7061,19.3922,19.3922,19.3922,232.7061,29.0883,38.7843,19.3922,232.7061,77.5687,77.5687,232.7061,19.3922,19.3922,38.7843
dining,10629.38,Cashback Credit Card,Millennia Credit Card,106.2938,53.1469,26.5734,53.1469,212.5876,26.5734,106.2938,26.5734,74.4057,53.1469,39.8602,53.1469,26.5734,26.5734,39.8602,106.2938,26.5734,26.5734,53.1469,106.2938,106.2938,106.2938,106.2938,53.1469,26.5734,26.5734
shopping,13666.04,Millennia Credit Card,Millennia Credit Card,136.6604,409.9812,34.1651,68.3302,273.3208,34.1651,68.3302,34.1651,47.8311,68.3302,34.1651,409.9812,34.1651,34.1651,34.1651,409.9812,51.2477,68.3302,34.1651,409.9812,136.6604,136.6604,409.9812,34.1651,34.1651,68.3302
fuel,15395.11,BPCL Octane Credit Card,BPCL Octane Credit Card,76.9755,76.9755,384.8777,76.9755,76.9755,19.2439,38.4878,19.2439,26.9414,76.9755,19.2439,76.9755,307.9022,19.2439,19.2439,76.9755,19.2439,19.2439,19.2439,76.9755,76.9755,76.9755,76.9755,38.4878,19.2439,19.2439
fuel,8751.83,BPCL Octane Credit Card,BPCL Octane Credit Card,43.7591,43.7591,218.7957,43.7591,43.7591,10.9398,21.8796,10.9398,15.3157,43.7591,10.9398,43.7591,175.0366,10.9398,10.9398,43.7591,10.9398,10.9398,10.9398,43.7591,43.7591,43.7591,43.7591,21.8796,10.9398,10.9398
fuel,19440.57,BPCL Octane Credit Card,Diners Club Black,97.2028,97.2028,486.0143,97.2028,97.2028,24.3007,48.6014,24.3007,34.021,97.2028,24.3007,97.2028,388.8114,24.3007,24.3007,97.2028,24.3007,24.3007,24.3007,97.2028,97.2028,97.2028,97.2028,48.6014,24.3007,24.3007
fuel,16849.22,BPCL Octane Credit Card,BPCL Octane Credit Card,84.2461,84.2461,421.2305,84.2461,84.2461,21.0615,42.1231,21.0615,29.4861,84.2461,21.0615,84.2461,336.9844,21.0615,21.0615,84.2461,21.0615,21.0615,21.0615,84.2461,84.2461,84.2461,84.2461,42.1231,21.0615,21.0615
travel,3141.5,Diners Club Black,Tata Neu Infinity Credit Card,15.7075,15.7075,7.8537,15.7075,15.7075,7.8537,47.1225,15.7075,32.9858,15.7075,19.6344,15.7075,7.8537,11.7806,23.5613,15.7075,3.9269,3.9269,23.5613,15.7075,15.7075,15.7075,15.7075,39.2687,15.7075,11.7806
groceries,18378.02,Tata Neu Infinity Credit Card,Tata Neu Infinity Credit Card,183.7802,183.7802,45.9451,91.8901,183.7802,45.9451,45.9451,22.9725,32.1615,91.8901,22.9725,183.7802,45.9451,22.9725,22.9725,183.7802,22.9725,22.9725,22.9725,275.6703,183.7802,183.7802,367.5604,45.9451,22.9725,22.9725
dining,487.59,Cashback Credit Card,HPCL Super Saver Credit Card,4.8759,2.4379,1.219,2.4379,9.7518,1.219,4.8759,1.219,3.4131,2.4379,1.8285,2.4379,1.219,1.219,1.8285,4.8759,1.219,1.219,2.4379,4.8759,4.8759,4.8759,4.8759,2.4379,1.219,1.219
fuel,4865.1,BPCL Octane Credit Card,BPCL Octane Credit Card,24.3255,24.3255,121.6275,24.3255,24.3255,6.0814,12.1628,6.0814,8.5139,24.3255,6.0814,24.3255,97.302,6.0814,6.0814,24.3255,6.0814,6.0814,6.0814,24.3255,24.3255,24.3255,24.3255,12.1628,6.0814,6.0814
groceries,18944.29,Tata Neu Infinity Credit Card,Tata Neu Infinity Credit Card,189.4429,189.4429,47.3607,94.7215,189.4429,47.3607,47.3607,23.6804,33.1525,94.7215,23.6804,189.4429,47.3607,23.6804,23.6804,189.4429,23.6804,23.6804,23.6804,284.1644,189.4429,189.4429,378.8858,47.3607,23.6804,23.6804
dining,16338.86,Cashback Credit Card,Amazon Pay Credit Card,163.3886,81.6943,40.8471,81.6943,326.7772,40.8471,163.3886,40.8471,114.372,81.6943,61.2707,81.6943,40.8471,40.8471,61.2707,163.3886,40.8471,40.8471,81.6943,163.3886,163.3886,163.3886,163.3886,81.6943,40.8471,40.8471
dining,18942.29,Cashback Credit Card,Cashback Credit Card,189.4229,94.7114,47.3557,94.7114,378.8458,47.3557,189.4229,47.3557,132.596,94.7114,71.0336,94.7114,47.3557,47.3557,71.0336,189.4229,47.3557,47.3557,94.7114,189.4229,189.4229,189.4229,189.4229,94.7114,47.3557,47.3557
groceries,17461.42,Tata Neu Infinity Credit Card,Tata Neu Infinity Credit Card,174.6142,174.6142,43.6535,87.3071,174.6142,43.6535,43.6535,21.8268,30.5575,87.3071,21.8268,174.6142,43.6535,21.8268,21.8268,174.6142,21.8268,21.8268,21.8268,261.9213,174.6142,174.6142,349.2284,43.6535,21.8268,21.8268
travel,18585.38,Diners Club Black,YES First Business Credit Card,92.9269,92.9269,46.4635,92.9269,92.9269,46.4635,278.7807,92.9269,195.1465,92.9269,116.1586,92.9269,46.4635,69.6952,139.3904,92.9269,23.2317,23.2317,139.3904,92.9269,92.9269,92.9269,92.9269,232.3173,92.9269,69.6952
dining,19903.47,Cashback Credit Card,Cashback Credit Card,199.0347,99.5174,49.7587,99.5174,398.0694,49.7587,199.0347,49.7587,139.3243,99.5174,74.638,99.5174,49.7587,49.7587,74.638,199.0347,49.7587,49.7587,99.5174,199.0347,199.0347,199.0347,199.0347,99.5174,49.7587,49.7587
dining,18002.32,Cashback Credit Card,Cashback Credit Card,180.0232,90.0116,45.0058,90.0116,360.0464,45.0058,180.0232,45.0058,126.0162,90.0116,67.5087,90.0116,45.0058,45.0058,67.5087,180.0232,45.0058,45.0058,90.0116,180.0232,180.0232,180.0232,180.0232,90.0116,45.0058,45.0058
travel,4571.48,Diners Club Black,Diners Club Black,22.8574,22.8574,11.4287,22.8574,22.8574,11.4287,68.5722,22.8574,48.0005,22.8574,28.5717,22.8574,11.4287,17.143,34.2861,22.8574,5.7143,5.7143,34.2861,22.8574,22.8574,22.8574,22.8574,57.1435,22.8574,17.143
groceries,11123.04,Tata Neu Infinity Credit Card,Tata Neu Infinity Credit Card,111.2304,111.2304,27.8076,55.6152,111.2304,27.8076,27.8076,13.9038,19.4653,55.6152,13.9038,111.2304,27.8076,13.9038,13.9038,111.2304,13.9038,13.9038,13.9038,166.8456,111.2304,111.2304,222.4608,27.8076,13.9038,13.9038
shopping,1512.76,Millennia Credit Card,Millennia Credit Card,15.1276,45.3828,3.7819,7.5638,30.2552,3.7819,7.5638,3.7819,5.2947,7.5638,3.7819,45.3828,3.7819,3.7819,3.7819,45.3828,5.6728,7.5638,3.7819,45.3828,15.1276,15.1276,45.3828,3.7819,3.7819,7.5638
travel,1441.27,Diners Club Black,Diners Club Black,7.2063,7.2063,3.6032,7.2063,7.2063,3.6032,21.619,7.2063,15.1333,7.2063,9.0079,7.2063,3.6032,5.4048,10.8095,7.2063,1.8016,1.8016,10.8095,7.2063,7.2063,7.2063,7.2063,18.0159,7.2063,5.4048
fuel,1510.06,BPCL Octane Credit Card,BPCL Octane Credit Card,7.5503,7.5503,37.7515,7.5503,7.5503,1.8876,3.7752,1.8876,2.6426,7.5503,1.8876,7.5503,30.2012,1.8876,1.8876,7.5503,1.8876,1.8876,1.8876,7.5503,7.5503,7.5503,7.5503,3.7752,1.8876,1.8876
dining,4363.31,Cashback Credit Card,Cashback Credit Card,43.6331,21.8166,10.9083,21.8166,87.2662,10.9083,43.6331,10.9083,30.5432,21.8166,16.3624,21.8166,10.9083,10.9083,16.3624,43.6331,10.9083,10.9083,21.8166,43.6331,43.6331,43.6331,43.6331,21.8166,10.9083,10.9083
groceries,11566.61,Tata Neu Infinity Credit Card,Tata Neu Infinity Credit Card,115.6661,115.6661,28.9165,57.8331,115.6661,28.9165,28.9165,14.4583,20.2416,57.8331,14.4583,115.6661,28.9165,14.4583,14.4583,115.6661,14.4583,14.4583,14.4583,173.4992,115.6661,115.6661,231.3322,28.9165,14.4583,14.4583
dining,16169.19,Cashback Credit Card,Cashback Credit Card,161.6919,80.846,40.423,80.846,323.3838,40.423,161.6919,40.423,113.1843,80.846,60.6345,80.846,40.423,40.423,60.6345,161.6919,40.423,40.423,80.846,161.6919,161.6919,161.6919,161.6919,80.846,40.423,40.423
shopping,13213.76,Millennia Credit Card,Millennia Credit Card,132.1376,396.4128,33.0344,66.0688,264.2752,33.0344,66.0688,33.0344,46.2482,66.0688,33.0344,396.4128,33.0344,33.0344,33.0344,396.4128,49.5516,66.0688,33.0344,396.4128,132.1376,132.1376,396.4128,33.0344,33.0344,66.0688
dining,9393.79,Cashback Credit Card,Vistara Infinite Credit Card,93.9379,46.969,23.4845,46.969,187.8758,23.4845,93.9379,23.4845,65.7565,46.969,35.2267,46.969,23.4845,23.4845,35.2267,93.9379,23.4845,23.4845,46.969,93.9379,93.9379,93.9379,93.9379,46.969,23.4845,23.4845
shopping,1306.19,Millennia Credit Card,Diners Club Black,13.0619,39.1857,3.2655,6.531,26.1238,3.2655,6.531,3.2655,4.5717,6.531,3.2655,39.1857,3.2655,3.2655,3.2655,39.1857,4.8982,6.531,3.2655,39.1857,13.0619,13.0619,39.1857,3.2655,3.2655,6.531
travel,3885.16,Diners Club Black,Diners Club Black,19.4258,19.4258,9.7129,19.4258,19.4258,9.7129,58.2774,19.4258,40.7942,19.4258,24.2822,19.4258,9.7129,14.5694,29.1387,19.4258,4.8564,4.8564,29.1387,19.4258,19.4258,19.4258,19.4258,48.5645,19.4258,14.5694
dining,3751.41,Cashback Credit Card,Cashback Credit Card,37.5141,18.757,9.3785,18.757,75.0282,9.3785,37.5141,9.3785,26.2599,18.757,14.0678,18.757,9.3785,9.3785,14.0678,37.5141,9.3785,9.3785,18.757,37.5141,37.5141,37.5141,37.5141,18.757,9.3785,9.3785
shopping,8918.3,Millennia Credit Card,Regalia Gold,89.183,267.549,22.2957,44.5915,178.366,22.2957,44.5915,22.2957,31.214,44.5915,22.2957,267.549,22.2957,22.2957,22.2957,267.549,33.4436,44.5915,22.2957,267.549,89.183,89.183,267.549,22.2957,22.2957,44.5915
groceries,16736.95,Tata Neu Infinity Credit Card,HPCL Super Saver Credit Card,167.3695,167.3695,41.8424,83.6848,167.3695,41.8424,41.8424,20.9212,29.2897,83.6848,20.9212,167.3695,41.8424,20.9212,20.9212,167.3695,20.9212,20.9212,20.9212,251.0543,167.3695,167.3695,334.739,41.8424,20.9212,20.9212
travel,8187.64,Diners Club Black,Diners Club Black,40.9382,40.9382,20.4691,40.9382,40.9382,20.4691,122.8146,40.9382,85.9702,40.9382,51.1728,40.9382,20.4691,30.7037,61.4073,40.9382,10.2346,10.2346,61.4073,40.9382,40.9382,40.9382,40.9382,102.3455,40.9382,30.7037
dining,18058.61,Cashback Credit Card,Cashback Credit Card,180.5861,90.2931,45.1465,90.2931,361.1722,45.1465,180.5861,45.1465,126.4103,90.2931,67.7198,90.2931,45.1465,45.1465,67.7198,180.5861,45.1465,45.1465,90.2931,180.5861,180.5861,180.5861,180.5861,90.2931,45.1465,45.1465
shopping,19707.65,Millennia Credit Card,Millennia Credit Card,197.0765,591.2295,49.2691,98.5383,394.153,49.2691,98.5383,49.2691,68.9768,98.5383,49.2691,591.2295,49.2691,49.2691,49.2691,591.2295,73.9037,98.5383,49.2691,591.2295,197.0765,197.0765,591.2295,49.2691,49.2691,98.5383
dining,5776.46,Cashback Credit Card,Cashback Credit Card,57.7646,28.8823,14.4412,28.8823,115.5292,14.4412,57.7646,14.4412,40.4352,28.8823,21.6617,28.8823,14.4412,14.4412,21.6617,57.7646,14.4412,14.4412,28.8823,57.7646,57.7646,57.7646,57.7646,28.8823,14.4412,14.4412
groceries,13271.24,Tata Neu Infinity Credit Card,Tata Neu Infinity Credit Card,132.7124,132.7124,33.1781,66.3562,132.7124,33.1781,33.1781,16.5891,23.2247,66.3562,16.5891,132.7124,33.1781,16.5891,16.5891,132.7124,16.5891,16.5891,16.5891,199.0686,132.7124,132.7124,265.4248,33.1781,16.5891,16.5891
travel,6004.49,Diners Club Black,PVR Platinum Credit Card,30.0224,30.0224,15.0112,30.0224,30.0224,15.0112,90.0674,30.0224,63.0471,30.0224,37.5281,30.0224,15.0112,22.5168,45.0337,30.0224,7.5056,7.5056,45.0337,30.0224,30.0224,30.0224,30.0224,75.0561,30.0224,22.5168
fuel,1237.59,BPCL Octane Credit Card,BPCL Octane Credit Card,6.1879,6.1879,30.9398,6.1879,6.1879,1.547,3.094,1.547,2.1658,6.1879,1.547,6.1879,24.7518,1.547,1.547,6.1879,1.547,1.547,1.547,6.1879,6.1879,6.1879,6.1879,3.094,1.547,1.547
groceries,18395.8,Tata Neu Infinity Credit Card,Tata Neu Infinity Credit Card,183.958,183.958,45.9895,91.979,183.958,45.9895,45.9895,22.9947,32.1927,91.979,22.9947,183.958,45.9895,22.9947,22.9947,183.958,22.9947,22.9947,22.9947,275.937,183.958,183.958,367.916,45.9895,22.9947,22.9947
shopping,19219.5,Millennia Credit Card,Millennia Credit Card,192.195,576.585,48.0487,96.0975,384.39,48.0487,96.0975,48.0487,67.2682,96.0975,48.0487,576.585,48.0487,48.0487,48.0487,576.585,72.0731,96.0975,48.0487,576.585,192.195,192.195,576.585,48.0487,48.0487,96.0975
travel,1463.57,Diners Club Black,Diners Club Black,7.3178,7.3178,3.6589,7.3178,7.3178,3.6589,21.9535,7.3178,15.3675,7.3178,9.1473,7.3178,3.6589,5.4884,10.9768,7.3178,1.8295,1.8295,10.9768,7.3178,7.3178,7.3178,7.3178,18.2946,7.3178,5.4884
travel,8135.13,Diners Club Black,First Classic Credit Card,40.6756,40.6756,20.3378,40.6756,40.6756,20.3378,122.0269,40.6756,85.4189,40.6756,50.8446,40.6756,20.3378,30.5067,61.0135,40.6756,10.1689,10.1689,61.0135,40.6756,40.6756,40.6756,40.6756,101.6891,40.6756,30.5067
shopping,12425.69,Millennia Credit Card,Millennia Credit Card,124.2569,372.7707,31.0642,62.1285,248.5138,31.0642,62.1285,31.0642,43.4899,62.1285,31.0642,372.7707,31.0642,31.0642,31.0642,372.7707,46.5963,62.1285,31.0642,372.7707,124.2569,124.2569,372.7707,31.0642,31.0642,62.1285
groceries,11348.02,Tata Neu Infinity Credit Card,Tata Neu Infinity Credit Card,113.4802,113.4802,28.3701,56.7401,113.4802,28.3701,28.3701,14.185,19.859,56.7401,14.185,113.4802,28.3701,14.185,14.185,113.4802,14.185,14.185,14.185,170.2203,113.4802,113.4802,226.9604,28.3701,14.185,14.185
fuel,4164.76,BPCL Octane Credit Card,League Platinum Credit Card,20.8238,20.8238,104.119,20.8238,20.8238,5.206,10.4119,5.206,7.2883,20.8238,5.206,20.8238,83.2952,5.206,5.206,20.8238,5.206,5.206,5.206,20.8238,20.8238,20.8238,20.8238,10.4119,5.206,5.206
travel,13466.64,Diners Club Black,Diners Club Black,67.3332,67.3332,33.6666,67.3332,67.3332,33.6666,201.9996,67.3332,141.3997,67.3332,84.1665,67.3332,33.6666,50.4999,100.9998,67.3332,16.8333,16.8333,100.9998,67.3332,67.3332,67.3332,67.3332,168.333,67.3332,50.4999
fuel,18587.46,BPCL Octane Credit Card,BankBazaar Credit Card,92.9373,92.9373,464.6865,92.9373,92.9373,23.2343,46.4686,23.2343,32.5281,92.9373,23.2343,92.9373,371.7492,23.2343,23.2343,92.9373,23.2343,23.2343,23.2343,92.9373,92.9373,92.9373,92.9373,46.4686,23.2343,23.2343
groceries,19922.32,Tata Neu Infinity Credit Card,Tata Neu Infinity Credit Card,199.2232,199.2232,49.8058,99.6116,199.2232,49.8058,49.8058,24.9029,34.8641,99.6116,24.9029,199.2232,49.8058,24.9029,24.9029,199.2232,24.9029,24.9029,24.9029,298.8348,199.2232,199.2232,398.4464,49.8058,24.9029,24.9029
travel,10167.11,Diners Club Black,Diners Club Black,50.8356,50.8356,25.4178,50.8356,50.8356,25.4178,152.5067,50.8356,106.7547,50.8356,63.5444,50.8356,25.4178,38.1267,76.2533,50.8356,12.7089,12.7089,76.2533,50.8356,50.8356,50.8356,50.8356,127.0889,50.8356,38.1267
