total_spend,spend_shopping,spend_travel,spend_fuel,spend_dining,spend_groceries,best_card_logic,most_used_card_sim
38603.72,21657.76,6137.46,3408.7,3805.77,3594.03,Tata Neu Infinity Credit Card,Cashback Credit Card
29030.31,743.27,896.08,9771.02,14032.39,3587.55,Cashback Credit Card,Cashback Credit Card
44164.67,7007.06,1169.67,12685.14,15731.44,7571.36,Cashback Credit Card,Diners Club Black
20946.05,1895.28,5291.93,4835.83,5367.38,3555.63,Tata Neu Infinity Credit Card,Cashback Credit Card
10802.72,550.51,6122.12,2226.62,333.03,1570.44,Diners Club Black,Tata Neu Infinity Credit Card
50143.89,5980.1,14417.78,9261.05,932.05,19552.9,Tata Neu Infinity Credit Card,Cashback Credit Card
29705.33,6663.42,4102.83,4113.76,10584.01,4241.32,Tata Neu Infinity Credit Card,Tata Neu Infinity Credit Card
40483.19,12437.73,3713.15,1343.49,21161.31,1827.51,Cashback Credit Card,Diners Club Black
31997.87,5832.18,870.29,1812.43,8392.84,15090.13,Tata Neu Infinity Credit Card,Diners Club Black
51720.76,15304.72,10307.94,6592.78,2369.35,17145.98,Tata Neu Infinity Credit Card,Diners Club Black
25122.84,10667.19,9777.38,1543.35,3023.14,111.77,Tata Neu Infinity Credit Card,Millennia Credit Card
23355.93,11504.61,3373.74,2411.99,3925.69,2139.89,Tata Neu Infinity Credit Card,BPCL Octane Credit Card
9005.32,268.68,3937.07,465.16,1284.65,3049.76,Tata Neu Infinity Credit Card,Millennia Credit Card
20866.58,3634.25,3120.43,8205.05,2870.63,3036.22,Tata Neu Infinity Credit Card,Tata Neu Infinity Credit Card
26689.17,1385.62,11598.9,1292.36,9483.68,2928.63,Cashback Credit Card,Cashback Credit Card
54542.93,12792.26,19285.39,10579.54,3193.97,8691.76,Tata Neu Infinity Credit Card,Diners Club Black
40780.87,8081.78,4816.93,1744.49,14314.2,11823.47,Tata Neu Infinity Credit Card,Cashback Credit Card
25254.4,5541.19,3638.82,2842.46,7310.94,5921.0,Tata Neu Infinity Credit Card,Tata Neu Infinity Credit Card
16101.23,2821.28,3891.25,6591.71,456.39,2340.59,BPCL Octane Credit Card,BPCL Octane Credit Card
28864.06,2322.27,2677.48,12042.74,86.5,11735.07,Tata Neu Infinity Credit Card,Cashback Credit Card
28404.47,4147.05,7754.69,6736.38,8747.19,1019.16,Cashback Credit Card,Cashback Credit Card
28046.71,2497.25,6525.88,5281.08,10311.97,3430.53,Cashback Credit Card,Diners Club Black
42953.26,10131.1,6083.31,8702.24,2953.03,15083.57,Tata Neu Infinity Credit Card,Millennia Credit Card
29524.5,420.73,5565.13,17165.11,3621.77,2751.76,BPCL Octane Credit Card,BPCL Octane Credit Card
13128.75,2566.03,1778.34,723.63,4778.28,3282.47,Tata Neu Infinity Credit Card,Diners Club Black
36123.08,11564.61,13295.11,7487.07,1618.2,2158.09,Tata Neu Infinity Credit Card,Millennia Credit Card
21839.12,4080.1,6388.38,1047.13,6978.54,3344.98,Tata Neu Infinity Credit Card,Diners Club Black
28338.87,5480.26,5421.93,5562.79,7219.13,4654.75,Tata Neu Infinity Credit Card,Cashback Credit Card
25816.08,2851.97,10612.04,8344.85,1391.15,2616.07,BPCL Octane Credit Card,BPCL Octane Credit Card
41488.27,13516.69,11085.2,6942.02,8084.68,1859.67,Tata Neu Infinity Credit Card,Millennia Credit Card
16559.56,2693.72,1437.27,3356.38,7165.02,1907.17,Cashback Credit Card,BPCL Octane Credit Card
40640.5,7131.5,11656.81,1477.7,11726.36,8648.12,Tata Neu Infinity Credit Card,Diners Club Black
13351.17,2861.91,2176.25,2956.28,477.38,4879.36,Tata Neu Infinity Credit Card,Cashback Credit Card
35576.14,4736.28,5740.8,8998.34,9923.23,6177.49,Tata Neu Infinity Credit Card,BPCL Octane Credit Card
23877.77,1059.23,7957.68,3187.9,8568.02,3104.94,Cashback Credit Card,BPCL Octane Credit Card
29263.12,4054.08,7672.65,5709.41,5236.6,6590.38,Tata Neu Infinity Credit Card,Millennia Credit Card
12365.83,2486.98,368.87,1210.31,4006.31,4293.35,Tata Neu Infinity Credit Card,Cashback Credit Card
11011.85,2264.41,2361.78,2397.73,1867.02,2120.91,Tata Neu Infinity Credit Card,Millennia Credit Card
25759.6,10573.9,901.0,8238.48,2483.44,3562.78,Tata Neu Infinity Credit Card,Millennia Credit Card
41150.84,4424.5,7906.02,7052.66,13315.37,8452.29,Cashback Credit Card,Tata Neu Infinity Credit Card
52718.55,2562.37,25937.13,5792.86,11673.29,6752.91,Diners Club Black,BPCL Octane Credit Card
37561.9,6762.72,10165.79,10285.96,8053.89,2293.54,Tata Neu Infinity Credit Card,Cashback Credit Card
30839.48,2733.83,4891.98,5296.98,5110.44,12806.25,Tata Neu Infinity Credit Card,Tata Neu Infinity Credit Card
22782.54,3092.12,5619.75,5650.35,1823.52,6596.79,Tata Neu Infinity Credit Card,Millennia Credit Card
13089.34,1309.27,2641.21,3125.98,3904.83,2108.06,Cashback Credit Card,Millennia Credit Card
26558.03,1186.2,1594.0,3742.93,11881.4,8153.5,Cashback Credit Card,Millennia Credit Card
31924.92,6678.37,7564.28,9592.98,5826.25,2263.04,Tata Neu Infinity Credit Card,Millennia Credit Card
21970.09,3935.45,4682.95,4278.37,4510.13,4563.19,Tata Neu Infinity Credit Card,BPCL Octane Credit Card
49654.4,13403.82,4308.08,13424.12,12763.32,5755.06,Tata Neu Infinity Credit Card,Tata Neu Infinity Credit Card
25730.81,6299.29,5859.55,3048.21,2627.24,7896.52,Tata Neu Infinity Credit Card,Diners Club Black
17112.98,3901.48,381.05,3355.81,5281.55,4193.09,Tata Neu Infinity Credit Card,BPCL Octane Credit Card
23381.29,4627.88,2806.24,4882.43,7720.96,3343.78,Tata Neu Infinity Credit Card,Tata Neu Infinity Credit Card
47903.92,11889.43,4878.07,6774.29,10331.52,14030.61,Tata Neu Infinity Credit Card,Tata Neu Infinity Credit Card
30670.37,9479.45,2533.28,10998.23,1281.37,6378.04,Tata Neu Infinity Credit Card,Cashback Credit Card
29340.29,9684.38,2470.44,1471.25,8275.01,7439.21,Tata Neu Infinity Credit Card,Cashback Credit Card
24848.01,8386.76,818.65,1300.41,6029.27,8312.92,Tata Neu Infinity Credit Card,Millennia Credit Card
13796.0,1827.35,2697.11,4343.01,1116.12,3812.42,Tata Neu Infinity Credit Card,BPCL Octane Credit Card
40808.61,12004.75,4389.37,9043.77,142.39,15228.34,Tata Neu Infinity Credit Card,Cashback Credit Card
29495.76,13468.9,4742.02,147.22,1198.57,9939.05,Tata Neu Infinity Credit Card,BPCL Octane Credit Card
31705.04,1093.36,8358.46,4696.07,10622.35,6934.79,Cashback Credit Card,Millennia Credit Card
38706.82,8403.57,823.33,11980.3,10537.04,6962.58,Tata Neu Infinity Credit Card,Tata Neu Infinity Credit Card
41957.68,6347.6,10765.43,5608.03,15066.01,4170.62,Cashback Credit Card,Millennia Credit Card
44564.35,14772.05,3845.07,5401.57,4091.18,16454.48,Tata Neu Infinity Credit Card,BPCL Octane Credit Card
42665.72,11035.6,3503.76,1683.01,13027.81,13415.54,Tata Neu Infinity Credit Card,Millennia Credit Card
34807.19,11389.85,10661.23,518.9,7589.88,4647.35,Tata Neu Infinity Credit Card,BPCL Octane Credit Card
33159.66,5717.96,7841.18,9293.52,4793.0,5514.0,Tata Neu Infinity Credit Card,Tata Neu Infinity Credit Card
51973.14,7184.23,10688.34,6851.18,20302.19,6947.19,Cashback Credit Card,Millennia Credit Card
15904.1,806.47,4344.88,5743.06,4861.5,148.18,BPCL Octane Credit Card,BPCL Octane Credit Card
8409.46,2267.4,2575.55,867.85,2071.51,627.16,Tata Neu Infinity Credit Card,Tata Neu Infinity Credit Card
52734.36,6039.24,17244.9,8741.72,19809.74,898.76,Cashback Credit Card,Cashback Credit Card
27364.69,67.66,10128.05,5476.9,5582.11,6109.97,Tata Neu Infinity Credit Card,Diners Club Black
24744.49,743.51,6832.05,252.67,8138.54,8777.71,Tata Neu Infinity Credit Card,BPCL Octane Credit Card
46675.19,4061.53,13143.63,15938.24,110.89,13420.89,Tata Neu Infinity Credit Card,Cashback Credit Card
49226.53,5879.26,7821.94,25491.17,6984.79,3049.36,BPCL Octane Credit Card,Tata Neu Infinity Credit Card
41281.4,9482.78,16847.91,3082.27,5181.25,6687.19,Tata Neu Infinity Credit Card,Diners Club Black
44161.73,8659.7,6786.56,10812.52,7309.04,10593.91,Tata Neu Infinity Credit Card,SimplyCLICK Credit Card
32157.36,681.99,3283.85,4202.41,13017.34,10971.77,Cashback Credit Card,Millennia Credit Card
56387.87,12547.44,6455.35,14794.5,8394.12,14196.46,Tata Neu Infinity Credit Card,Cashback Credit Card
12021.9,4917.11,805.62,64.91,2020.78,4213.48,Tata Neu Infinity Credit Card,Millennia Credit Card
45087.16,9636.38,10564.56,9935.37,6617.08,8333.77,Tata Neu Infinity Credit Card,BPCL Octane Credit Card
44442.71,11979.77,11330.74,6594.04,2411.23,12126.93,Tata Neu Infinity Credit Card,Diners Club Black
29104.27,8812.59,6629.59,5864.26,4024.59,3773.23,Tata Neu Infinity Credit Card,BPCL Octane Credit Card
18492.43,1441.68,4968.79,5884.62,1196.26,5001.07,Tata Neu Infinity Credit Card,BPCL Octane Credit Card
30939.53,7984.12,4660.25,6714.52,7620.14,3960.5,Tata Neu Infinity Credit Card,BPCL Octane Credit Card
27635.28,4268.6,9527.79,7379.95,4877.48,1581.46,Tata Neu Infinity Credit Card,Cashback Credit Card
46673.3,14000.05,9054.67,12990.82,1092.75,9535.01,Tata Neu Infinity Credit Card,Millennia Credit Card
54581.54,19019.26,8796.26,9373.4,14353.63,3038.99,Tata Neu Infinity Credit Card,Cashback Credit Card
23243.76,3069.87,8324.16,2761.06,5903.6,3185.07,Tata Neu Infinity Credit Card,BPCL Octane Credit Card
24461.36,5118.01,4828.34,6604.89,4038.27,3871.84,Tata Neu Infinity Credit Card,Diners Club Black
18952.37,5446.08,1560.34,4935.68,4740.46,2269.81,Tata Neu Infinity Credit Card,Cashback Credit Card
16843.61,267.61,5296.61,4444.74,538.67,6295.99,Tata Neu Infinity Credit Card,BPCL Octane Credit Card
23355.58,6605.1,7329.55,3530.58,1094.42,4795.92,Tata Neu Infinity Credit Card,Cashback Credit Card
53934.07,4180.58,7464.98,7239.4,12309.56,22739.54,Tata Neu Infinity Credit Card,Millennia Credit Card
19113.24,4776.17,4518.45,1371.94,3858.24,4588.44,Tata Neu Infinity Credit Card,Millennia Credit Card
27124.94,5022.89,5825.14,4874.4,5582.57,5819.95,Tata Neu Infinity Credit Card,Tata Neu Infinity Credit Card
44174.34,8521.4,11688.48,11537.8,10732.78,1693.88,Cashback Credit Card,Millennia Credit Card
8122.22,797.95,2262.91,212.8,1845.77,3002.79,Tata Neu Infinity Credit Card,Diners Club Black
19649.79,4166.73,5472.86,4728.81,2651.75,2629.65,Tata Neu Infinity Credit Card,Diners Club Black
34551.6,6827.3,10778.12,1689.85,3781.3,11475.03,Tata Neu Infinity Credit Card,Diners Club Black
55201.86,11556.44,13315.82,8142.5,9973.91,12213.19,Tata Neu Infinity Credit Card,Cashback Credit Card
53454.17,11077.15,12118.83,8645.14,13222.6,8390.45,Tata Neu Infinity Credit Card,Tata Neu Infinity Credit Card
8649.14,2871.98,1386.04,1835.1,1214.73,1341.29,Tata Neu Infinity Credit Card,Cashback Credit Card
50185.03,6016.78,4166.79,19275.53,8359.74,12366.19,Tata Neu Infinity Credit Card,Cashback Credit Card
24823.47,7617.0,5027.75,2398.24,2566.21,7214.27,Tata Neu Infinity Credit Card,Cashback Credit Card
13311.37,919.64,2939.72,3658.07,291.79,5502.14,Tata Neu Infinity Credit Card,Diners Club Black
33121.02,4098.42,8377.53,15125.89,1511.88,4007.3,BPCL Octane Credit Card,Diners Club Black
44181.54,10522.02,13892.15,8622.84,5051.3,6093.22,Tata Neu Infinity Credit Card,Diners Club Black
11083.99,2942.08,2052.47,2539.12,3193.14,357.17,Tata Neu Infinity Credit Card,Millennia Credit Card
49894.49,17892.85,11593.62,14643.54,5518.28,246.19,Tata Neu Infinity Credit Card,BPCL Octane Credit Card
54307.86,18968.85,1536.8,18968.65,9713.8,5119.77,Tata Neu Infinity Credit Card,Diners Club Black
58529.94,2627.44,14956.94,8612.85,14916.89,17415.83,Tata Neu Infinity Credit Card,BPCL Octane Credit Card
18268.48,1767.49,5879.2,5482.33,1262.71,3876.74,Tata Neu Infinity Credit Card,Cashback Credit Card
23768.51,3287.91,6999.35,5352.11,5214.43,2914.7,Tata Neu Infinity Credit Card,Diners Club Black
18766.98,8681.19,1408.22,1886.15,3749.95,3041.46,Tata Neu Infinity Credit Card,Tata Neu Infinity Credit Card
28736.18,1569.22,8521.02,6705.86,10914.08,1026.0,Cashback Credit Card,Cashback Credit Card
15112.65,266.95,855.18,6400.28,7578.72,11.53,Cashback Credit Card,Cashback Credit Card
16616.54,1206.59,3471.14,2745.23,2588.8,6604.78,Tata Neu Infinity Credit Card,Cashback Credit Card
19649.55,1505.14,3901.65,6214.72,6174.06,1853.98,Cashback Credit Card,Cashback Credit Card
48908.11,8247.49,14378.67,12167.6,13587.36,526.99,Cashback Credit Card,BPCL Octane Credit Card
56510.3,2372.06,796.45,22886.94,15822.51,14632.35,BPCL Octane Credit Card,Diners Club Black
13216.61,107.37,4872.06,4359.18,1527.49,2350.51,BPCL Octane Credit Card,Diners Club Black
33993.04,375.06,14254.28,14228.52,442.47,4692.71,BPCL Octane Credit Card,Millennia Credit Card
49581.89,9541.34,959.46,20392.2,6637.69,12051.19,Tata Neu Infinity Credit Card,BPCL Octane Credit Card
38965.98,10315.73,5393.21,10613.85,12164.14,479.04,Cashback Credit Card,Diners Club Black
16938.52,5827.78,2868.11,2114.53,2756.66,3371.44,Tata Neu Infinity Credit Card,Cashback Credit Card
38013.26,14113.43,3220.71,13035.76,4852.74,2790.61,Tata Neu Infinity Credit Card,BPCL Octane Credit Card
56433.65,4490.34,15520.95,3969.94,26178.52,6273.9,Cashback Credit Card,Cashback Credit Card
8997.88,2076.13,2369.76,1107.89,1432.84,2011.26,Tata Neu Infinity Credit Card,Cashback Credit Card
42353.47,5875.41,5973.22,11352.82,8276.78,10875.23,Tata Neu Infinity Credit Card,Tata Neu Infinity Credit Card
50790.17,10970.95,9800.48,4305.34,12480.74,13232.67,Tata Neu Infinity Credit Card,Diners Club Black
15427.43,1524.61,1324.59,3825.38,440.07,8312.78,Tata Neu Infinity Credit Card,Millennia Credit Card
50820.32,14742.1,11118.19,3175.59,11027.52,10756.93,Tata Neu Infinity Credit Card,BPCL Octane Credit Card
32713.01,9957.94,205.34,7421.26,5759.22,9369.25,Tata Neu Infinity Credit Card,Millennia Credit Card
53761.52,13957.33,2888.64,16438.44,5608.03,14869.09,Tata Neu Infinity Credit Card,BPCL Octane Credit Card
40233.95,2803.75,7476.7,5883.94,11248.8,12820.76,Tata Neu Infinity Credit Card,Cashback Credit Card
16441.87,924.15,1660.47,6610.44,6520.83,725.97,Cashback Credit Card,Millennia Credit Card
42002.55,4272.86,18142.18,2325.47,14067.95,3194.09,Cashback Credit Card,Millennia Credit Card
28983.15,6727.7,8018.45,2720.91,3045.82,8470.27,Tata Neu Infinity Credit Card,Millennia Credit Card
23536.48,3283.84,6482.23,6712.44,1784.16,5273.8,Tata Neu Infinity Credit Card,BPCL Octane Credit Card
42214.85,5683.74,3533.52,9904.51,12964.76,10128.32,Tata Neu Infinity Credit Card,Millennia Credit Card
45298.57,7484.56,9573.82,5327.1,16774.54,6138.55,Cashback Credit Card,BPCL Octane Credit Card
55527.85,16994.53,9010.82,11176.4,4285.82,14060.28,Tata Neu Infinity Credit Card,Cashback Credit Card
41023.43,10985.92,9810.52,1251.11,11857.6,7118.28,Tata Neu Infinity Credit Card,BPCL Octane Credit Card
46217.2,3864.36,12527.43,7173.72,13586.66,9065.03,Cashback Credit Card,Diners Club Black
11007.25,676.96,5500.98,375.33,2605.03,1848.95,Diners Club Black,Cashback Credit Card
50694.98,1759.27,16705.16,13038.39,8651.45,10540.71,Tata Neu Infinity Credit Card,Cashback Credit Card
21960.81,4356.46,857.73,5772.09,5204.67,5769.85,Tata Neu Infinity Credit Card,Cashback Credit Card
11394.02,893.55,1807.17,4497.53,881.93,3313.84,Tata Neu Infinity Credit Card,Diners Club Black
38818.74,1398.02,13288.23,11204.23,7203.06,5725.21,Cashback Credit Card,Cashback Credit Card
15332.28,2850.36,5920.72,3778.39,1025.36,1757.45,Tata Neu Infinity Credit Card,BPCL Octane Credit Card
39774.83,13514.67,469.61,10087.23,9339.53,6363.78,Tata Neu Infinity Credit Card,BPCL Octane Credit Card
28957.52,160.98,2175.26,5641.25,13643.06,7336.97,Cashback Credit Card,Diners Club Black
35191.36,10051.31,3861.96,13960.6,2644.31,4673.18,Tata Neu Infinity Credit Card,Diners Club Black
45651.63,16513.7,9688.32,9125.26,8682.25,1642.09,Tata Neu Infinity Credit Card,Millennia Credit Card
18298.98,7840.46,1894.48,1628.29,3186.77,3748.99,Tata Neu Infinity Credit Card,Cashback Credit Card
35095.53,3600.08,4929.92,13630.82,11803.87,1130.84,Cashback Credit Card,Tata Neu Infinity Credit Card
26284.57,3653.81,6693.62,8148.09,1720.16,6068.89,Tata Neu Infinity Credit Card,Diners Club Black
17570.47,2539.34,5533.88,2359.15,3603.07,3535.04,Tata Neu Infinity Credit Card,Tata Neu Infinity Credit Card
49254.48,13075.33,20700.45,2305.25,2765.54,10407.92,Tata Neu Infinity Credit Card,BPCL Octane Credit Card
